iter	Passed	Remaining
0	2	658
1	5	677
2	8	744
3	9	672
4	11	618
5	13	581
6	14	545
7	15	518
8	17	499
9	18	482
10	19	467
11	20	453
12	23	461
13	24	457
14	26	452
15	28	455
16	30	461
17	31	447
18	32	434
19	33	423
20	34	413
21	35	403
22	36	398
23	38	401
24	39	393
25	40	384
26	41	377
27	42	370
28	43	363
29	44	358
30	45	352
31	45	346
32	46	341
33	47	336
34	48	331
35	49	326
36	50	322
37	51	318
38	53	322
39	54	318
40	55	315
41	56	311
42	57	307
43	58	304
44	59	300
45	60	297
46	61	294
47	62	291
48	63	288
49	63	285
50	64	282
51	65	279
52	66	276
53	67	275
54	69	274
55	70	271
56	71	269
57	72	267
58	73	264
59	73	262
60	74	260
61	75	258
62	76	255
63	77	253
64	78	251
65	79	249
66	80	247
67	81	245
68	82	243
69	83	241
70	84	241
71	85	239
72	86	237
73	87	235
74	88	233
75	89	231
76	90	229
77	91	227
78	92	226
79	93	226
80	95	226
81	96	225
82	97	224
83	99	223
84	100	222
85	101	221
86	102	220
87	104	218
88	105	217
89	106	216
90	107	215
91	108	213
92	110	212
93	111	211
94	112	210
95	113	209
96	114	208
97	115	206
98	117	205
99	118	204
100	119	203
101	121	204
102	123	204
103	125	203
104	126	202
105	127	200
106	128	198
107	129	197
108	130	196
109	131	194
110	132	192
111	133	191
112	133	189
113	134	188
114	135	186
115	136	185
116	137	183
117	138	182
118	139	181
119	140	179
120	141	178
121	142	176
122	143	175
123	144	173
124	145	172
125	146	170
126	147	169
127	148	167
128	149	166
129	150	165
130	151	163
131	151	162
132	152	160
133	153	159
134	154	158
135	155	156
136	156	155
137	157	154
138	159	153
139	160	152
140	162	151
141	163	150
142	164	149
143	165	148
144	166	147
145	167	145
146	168	144
147	169	142
148	170	141
149	171	140
150	171	138
151	172	137
152	173	136
153	174	135
154	175	133
155	176	132
156	177	131
157	179	130
158	180	129
159	181	128
160	182	126
161	183	125
162	183	124
163	184	122
164	185	121
165	186	120
166	187	119
167	188	117
168	189	116
169	190	115
170	191	114
171	192	113
172	193	111
173	194	110
174	195	109
175	196	108
176	197	106
177	197	105
178	198	104
179	199	103
180	200	102
181	201	100
182	202	99
183	203	98
184	204	97
185	205	96
186	206	94
187	207	93
188	208	92
189	208	91
190	209	90
191	210	88
192	211	87
193	212	86
194	213	85
195	214	84
196	215	83
197	216	81
198	217	80
199	218	79
200	218	78
201	219	77
202	220	76
203	221	75
204	222	73
205	223	72
206	224	71
207	225	70
208	226	69
209	227	68
210	228	67
211	229	65
212	230	64
213	230	63
214	231	62
215	232	61
216	233	60
217	234	59
218	235	58
219	236	56
220	237	55
221	238	54
222	239	53
223	240	52
224	241	51
225	241	50
226	242	49
227	243	48
228	244	47
229	245	45
230	246	44
231	247	43
232	248	42
233	249	41
234	250	40
235	251	39
236	252	38
237	252	37
238	253	36
239	254	35
240	255	33
241	256	32
242	258	31
243	259	30
244	260	29
245	261	28
246	262	27
247	263	26
248	264	25
249	265	24
250	266	23
251	267	22
252	268	21
253	269	20
254	270	19
255	271	18
256	272	16
257	273	15
258	274	14
259	275	13
260	276	12
261	277	11
262	277	10
263	278	9
264	279	8
265	280	7
266	281	6
267	282	5
268	283	4
269	284	3
270	285	2
271	286	1
272	287	0
