iter	Logloss
0	0.648527883
1	0.61092117
2	0.5805367512
3	0.5562781091
4	0.5357631359
5	0.520648843
6	0.508787307
7	0.4972970545
8	0.4884597542
9	0.4777606122
10	0.4707769301
11	0.4631335826
12	0.4566909656
13	0.4517265648
14	0.4452025934
15	0.4415708666
16	0.4358727851
17	0.430448245
18	0.4267836326
19	0.423516517
20	0.420592584
21	0.4155178822
22	0.4125578753
23	0.4081277283
24	0.4053069561
25	0.4020606962
26	0.4002290844
27	0.397114964
28	0.3944274178
29	0.3931700709
30	0.3893849976
31	0.3868568269
32	0.3824036005
33	0.3808996686
34	0.3786229035
35	0.3760701369
36	0.374308878
37	0.3701969971
38	0.3689367975
39	0.3661033556
40	0.3643856045
41	0.3623277742
42	0.3602179641
43	0.3596669668
44	0.3594168178
45	0.3580290013
46	0.3564802159
47	0.3554771045
48	0.3533438763
49	0.3531259155
50	0.3527162589
51	0.3503275407
52	0.3501268297
53	0.3499403965
54	0.3497603542
55	0.3488895043
56	0.3480973523
57	0.3473142841
58	0.3463223447
59	0.3458626507
60	0.345517541
61	0.3434939181
62	0.3417037467
63	0.3395673103
64	0.3381036287
65	0.3379879216
66	0.3374307363
67	0.3346344624
68	0.3345179887
69	0.3336004714
70	0.3319034551
71	0.3308192287
72	0.3269384121
73	0.3251246216
74	0.3242555365
75	0.3226121568
76	0.3204512794
77	0.3196757349
78	0.3176007239
79	0.3163156492
80	0.3146513277
81	0.3137461469
82	0.3123138157
83	0.3111050009
84	0.3099944309
85	0.3075157681
86	0.3074170593
87	0.3067151289
88	0.306522318
89	0.305436083
90	0.3037919413
91	0.3023728945
92	0.3017542039
93	0.3004135583
94	0.300269386
95	0.2984997836
96	0.2962805453
97	0.294941857
98	0.2942692484
99	0.2934815312
100	0.2919432215
101	0.2905136156
102	0.2895913331
103	0.2886979648
104	0.2875046494
105	0.286769401
106	0.2847812545
107	0.2834156038
108	0.2819700305
109	0.2807813345
