iter	Passed	Remaining
0	1	162
1	2	126
2	3	110
3	3	103
4	4	98
5	5	98
6	6	98
7	7	94
8	8	92
9	9	90
10	9	88
11	10	86
12	11	84
13	12	82
14	12	82
15	14	85
16	15	84
17	16	82
18	17	81
19	17	80
20	18	79
21	19	77
22	20	77
23	21	77
24	22	76
25	23	74
26	23	73
27	24	72
28	25	71
29	26	69
30	26	68
31	28	68
32	29	69
33	30	68
34	31	67
35	32	65
36	32	64
37	33	63
38	34	62
39	35	62
40	36	61
41	37	60
42	37	59
43	38	57
44	39	56
45	40	55
46	40	54
47	41	53
48	42	53
49	43	52
50	45	52
51	46	51
52	46	50
53	47	49
54	48	48
55	49	47
56	50	46
57	51	45
58	52	44
59	52	43
60	53	42
61	54	42
62	55	41
63	55	40
64	56	39
65	58	38
66	59	37
67	60	37
68	61	36
69	62	35
70	63	34
71	64	33
72	65	33
73	66	32
74	67	31
75	68	30
76	69	29
77	70	28
78	71	28
79	74	28
80	76	27
81	77	26
82	77	25
83	78	24
84	79	23
85	80	22
86	81	21
87	82	20
88	83	19
89	84	18
90	85	17
91	86	16
92	87	16
93	88	15
94	89	14
95	90	13
96	91	12
97	92	11
98	93	10
99	94	9
100	95	8
101	96	7
102	97	6
103	98	5
104	98	4
105	100	3
106	100	2
107	102	1
108	103	0
109	104	0
